actor_id,award_name,year,award_outcome,award_description
nm0000134,Screen Actors Guild Awards,2013,"Nominee
Actor","Outstanding Performance by a Male Actor in a Supporting Role
Silver Linings Playbook (2012)"
nm0000134,Screen Actors Guild Awards,2013,"Nominee
Actor","Outstanding Performance by a Cast in a Motion Picture
Silver Linings Playbook (2012)

Shared with:

Bradley Cooper

Anupam Kher

Jennifer Lawrence

Chris Tucker

Jacki Weaver"
nm0000134,Screen Actors Guild Awards,1997,"Nominee
Actor","Outstanding Performance by a Cast
Marvin's Room (1996)

Shared with:

Meryl Streep

Leonardo DiCaprio

Diane Keaton

Hume Cronyn

Gwen Verdon

Hal Scardino

Dan Hedaya"
nm0000134,Seattle Film Critics Society,2020,"Nominee
SFCS Award","Best Actor
The Irishman (2019)"
nm0000134,"St. Louis Film Critics Association, US",2006,"Nominee
SLFCA Award","Best Director
The Good Shepherd (2006)"
nm0000134,Taormina International Film Festival,2010,"Winner
Taormina Arte Award",
nm0000134,The Kennedy Center Honors,2009,"Winner
Kennedy Center Honors",
nm0000134,Venice Film Festival,1993,"Winner
Career Golden Lion",
nm0000134,Venice Film Festival,1981,"Winner
Golden Phoenix","Best Actor
True Confessions (1981)

Shared with:

Robert Duvall"
nm0000134,Washington DC Area Film Critics Association Awards,2019,"Nominee
WAFCA Award","Best Actor
The Irishman (2019)"
nm0000134,Yoga Awards,2009,"Winner
Yoga Award","Worst Foreign Actor
Righteous Kill (2008)

Shared with:

Al Pacino"
nm0000228,"Academy Awards, USA",2000,"Winner
Oscar","Best Actor in a Leading Role
American Beauty (1999)"
nm0000228,"Academy Awards, USA",1996,"Winner
Oscar","Best Actor in a Supporting Role
The Usual Suspects (1995)"
nm0000228,Primetime Emmy Awards,2017,"Nominee
Primetime Emmy","Outstanding Lead Actor in a Drama Series
House of Cards (2013)


For playing: ""Francis Underwood""."
nm0000228,Primetime Emmy Awards,2017,"Nominee
Primetime Emmy","Outstanding Drama Series
House of Cards (2013)

Shared with:

Andrew Davies

(executive producer)        

Michael Dobbs

(executive producer)        

Robin Wright

(executive producer)        

Dana Brunetti

(executive producer)        

Joshua Donen

(executive producer)        

Eric Roth

(executive producer)        

David Fincher

(executive producer)        

John Mankiewicz

(executive producer)        

Robert Zotnowski

(co-executive producer)        

Frank Pugliese

(executive producer)        

Daniel Minahan

(executive producer)        

Melissa James Gibson

(executive producer)        

Kenneth Lin

(supervising producer)        

Hameed Shaukat

(supervising producer)        

Laura Eason

(producer)        

Bill Kennedy

(producer)        

Boris Malden

(produced by)"
nm0000228,Primetime Emmy Awards,2016,"Nominee
Primetime Emmy","Outstanding Lead Actor in a Drama Series
House of Cards (2013)


For playing: ""Francis Underwood""."
nm0000228,Primetime Emmy Awards,2016,"Nominee
Primetime Emmy","Outstanding Drama Series
House of Cards (2013)

Shared with:

Beau Willimon

(executive producer)        

Andrew Davies

(executive producer)        

Michael Dobbs

(executive producer)        

Robin Wright

(executive producer)        

Dana Brunetti

(executive producer)        

Joshua Donen

(executive producer)        

Eric Roth

(executive producer)        

David Fincher

(executive producer)        

John Mankiewicz

(co-executive producer)        

Robert Zotnowski

(co-executive producer)        

Jay Carson

(supervising producer)        

Frank Pugliese

(supervising producer)        

Hameed Shaukat

(producer)        

Boris Malden

(produced by)"
nm0000228,Primetime Emmy Awards,2015,"Nominee
Primetime Emmy","Outstanding Lead Actor in a Drama Series
House of Cards (2013)


For playing ""Francis Underwood""."
nm0000228,Primetime Emmy Awards,2015,"Nominee
Primetime Emmy","Outstanding Drama Series
House of Cards (2013)

Shared with:

Beau Willimon

(executive producer)        

Andrew Davies

(executive producer)        

Michael Dobbs

(executive producer)        

Dana Brunetti

(executive producer)        

Joshua Donen

(executive producer)        

Eric Roth

(executive producer)        

David Fincher

(executive producer)        

John David Coles

(executive producer)        

John Mankiewicz

(co-executive producer)        

Robert Zotnowski

(co-executive producer)        

Frank Pugliese

(supervising producer)        

Jay Carson

(producer)        

Karen Moore

(produced by)"
nm0000228,Primetime Emmy Awards,2014,"Nominee
Primetime Emmy","Outstanding Lead Actor in a Drama Series
House of Cards (2013)


For playing ""Francis Underwood""."
nm0000228,Primetime Emmy Awards,2014,"Nominee
Primetime Emmy","Outstanding Drama Series
House of Cards (2013)

Shared with:

Beau Willimon

(executive producer)        

Joshua Donen

(executive producer)        

Eric Roth

(executive producer)        

David Fincher

(executive producer)        

Dana Brunetti

(executive producer)        

Andrew Davies

(executive producer)        

Michael Dobbs

(executive producer)        

David Manson

(executive producer)        

John Mankiewicz

(co-executive producer)        

Robert Zotnowski

(co-executive producer)        

Iain Paterson

(produced by)"
nm0000228,Primetime Emmy Awards,2013,"Nominee
Primetime Emmy","Outstanding Drama Series
House of Cards (2013)

Shared with:

David Fincher

(executive producer)        

Joshua Donen

(executive producer)        

Eric Roth

(executive producer)        

Beau Willimon

(executive producer)        

John P. Melfi

(executive producer)        

Dana Brunetti

(executive producer)        

Michael Dobbs

(executive producer)        

Andrew Davies

(executive producer)        

Rick Cleveland

(co-executive producer)        

Sarah Treem

(co-executive producer)        

Robert Zotnowski

(co-executive producer)        

Keith Huff

(producer)        

Karyn McCarthy

(producer)"
nm0000228,Primetime Emmy Awards,2013,"Nominee
Primetime Emmy","Outstanding Lead Actor in a Drama Series
House of Cards (2013)


For playing ""Francis Underwood""."
nm0000228,Primetime Emmy Awards,2008,"Nominee
Primetime Emmy","Outstanding Lead Actor in a Miniseries or a Movie
Recount (2008)


For playing: ""Ronald Klain""."
nm0000228,Primetime Emmy Awards,2008,"Nominee
Primetime Emmy","Outstanding Made for Television Movie
Bernard and Doris (2006)

Shared with:

Jonathan Cavendish

(executive producer)        

Adam Kassen

(executive producer)        

Mark Kassen

(executive producer)        

Bob Balaban

(executive producer)        

Dana Brunetti

(executive producer)        

Mark Olsen

(co-executive producer)"
nm0000228,BAFTA Awards,2015,"Nominee
BAFTA Games Award","Best Performer
Call of Duty: Advanced Warfare (2014)"
nm0000228,BAFTA Awards,2002,"Nominee
BAFTA Film Award","Best Performance by an Actor in a Leading Role
The Shipping News (2001)"
nm0000228,BAFTA Awards,2000,"Winner
BAFTA Film Award","Best Performance by an Actor in a Leading Role
American Beauty (1999)"
nm0000228,BAFTA Awards,1998,"Nominee
BAFTA Film Award","Best Performance by an Actor in a Leading Role
L.A. Confidential (1997)"
nm0000228,20/20 Awards,2016,"Winner
Felix","Best Supporting Actor
The Usual Suspects (1995)"
nm0000228,AARP Movies for Grownups Awards,2012,"Nominee
Movies for Grownups Award","Best Actor
Margin Call (2011)"
nm0000228,AARP Movies for Grownups Awards,2011,"Nominee
Movies for Grownups Award","Best Actor
Casino Jack (2010)"
nm0000228,"Academy of Science Fiction, Fantasy & Horror Films, USA",2002,"Nominee
Saturn Award","Best Actor
K-PAX (2001)"
nm0000228,"Academy of Science Fiction, Fantasy & Horror Films, USA",1993,"Nominee
Saturn Award","Best Supporting Actor
Consenting Adults (1992)"
nm0000228,Alliance of Women Film Journalists,2018,"Winner
EDA Special Mention Award","Hall of Shame
Shared with:

Harvey Weinstein

Brett Ratner



Showbiz Sexual Tormentors: Harvey Weinstein, Kevin Spacey, Brett Ratner, et al."
nm0000228,"American Comedy Awards, USA",2000,"Nominee
American Comedy Award","Funniest Actor in a Motion Picture (Leading Role)
American Beauty (1999)"
nm0000228,Awards Circuit Community Awards,1999,"Winner
ACCA","Best Actor in a Leading Role
American Beauty (1999)"
nm0000228,Awards Circuit Community Awards,1999,"Nominee
ACCA","Best Cast Ensemble
American Beauty (1999)

Shared with:

Annette Bening

Chris Cooper

Wes Bentley

Thora Birch

Mena Suvari

Peter Gallagher

Allison Janney

Scott Bakula"
nm0000228,Awards Circuit Community Awards,1997,"Nominee
ACCA","Best Actor in a Supporting Role
L.A. Confidential (1997)


Runner-Up"
nm0000228,Awards Circuit Community Awards,1995,"Winner
ACCA","Best Actor in a Supporting Role
The Usual Suspects (1995)"
nm0000228,Awards Circuit Community Awards,1995,"Winner
ACCA","Best Cast Ensemble
The Usual Suspects (1995)

Shared with:

Gabriel Byrne

Stephen Baldwin

Kevin Pollak

Benicio Del Toro

Chazz Palminteri

Pete Postlethwaite

Suzy Amis

Giancarlo Esposito

Dan Hedaya"
nm0000228,Awards Circuit Community Awards,1995,"Nominee
ACCA","Best Actor in a Supporting Role
Se7en (1995)"
nm0000228,Awards Circuit Community Awards,1995,"Nominee
ACCA","Best Cast Ensemble
Se7en (1995)

Shared with:

Morgan Freeman

Brad Pitt

Gwyneth Paltrow

R. Lee Ermey"
nm0000228,Blockbuster Entertainment Awards,2001,"Nominee
Blockbuster Entertainment Award","Favorite Actor - Drama/Romance
Pay It Forward (2000)"
nm0000228,Blockbuster Entertainment Awards,2000,"Nominee
Blockbuster Entertainment Award","Favorite Actor - Drama
American Beauty (1999)"
nm0000228,Boston Film Festival,1999,"Winner
Film Excellence Award",
nm0000228,Boston Society of Film Critics Awards,1999,"Nominee
BSFC Award","Best Actor
American Beauty (1999)


Tied with Russell Crowe for Insider (1999) and Matt Damon for Der talentierte Mr. Ripley (1999)."
nm0000228,Boston Society of Film Critics Awards,1997,"Winner
BSFC Award","Best Supporting Actor
L.A. Confidential (1997)"
nm0000228,Boston Society of Film Critics Awards,1995,"Winner
BSFC Award","Best Supporting Actor
The Usual Suspects (1995)"
nm0000228,Broadcast Film Critics Association Awards,1996,"Winner
Critics Choice Award","Best Supporting Actor
Outbreak (1995)

Se7en (1995)

Swimming with Sharks (1994)

The Usual Suspects (1995)



Tied with Ed Harris for Apollo 13 (1995), Im Sumpf des Verbrechens (1995) and Nixon - Der Untergang...                More


Tied with Ed Harris for Apollo 13 (1995), Im Sumpf des Verbrechens (1995) and Nixon - Der Untergang eines Präsidenten (1995)."
nm0000228,Central Ohio Film Critics Association,2012,"Nominee
COFCA Award","Best Ensemble
Margin Call (2011)

Shared with:

Paul Bettany

Jeremy Irons

Zachary Quinto

Penn Badgley

Simon Baker

Mary McDonnell

Demi Moore

Stanley Tucci

Aasif Mandvi"
nm0000228,Chicago Film Critics Association Awards,2000,"Winner
CFCA Award","Best Actor
American Beauty (1999)"
nm0000228,Chicago Film Critics Association Awards,1998,"Nominee
CFCA Award","Best Supporting Actor
L.A. Confidential (1997)"
nm0000228,Chicago Film Critics Association Awards,1996,"Winner
CFCA Award","Best Supporting Actor
The Usual Suspects (1995)"
nm0000228,Chlotrudis Awards,2000,"Winner
Chlotrudis Award","Best Actor
American Beauty (1999)"
nm0000228,Chlotrudis Awards,1998,"Winner
Chlotrudis Award","Best Supporting Actor
L.A. Confidential (1997)"
nm0000228,Chlotrudis Awards,1996,"Winner
Chlotrudis Award","Best Supporting Actor
The Usual Suspects (1995)"
nm0000228,Cinequest San Jose Film Festival,1998,"Winner
Maverick Tribute Award",
nm0000228,Critics Choice Television Awards,2016,"Nominee
Critics' Choice TV Award","Best Actor in a Drama Series
House of Cards (2013)"
nm0000228,Critics Choice Television Awards,2013,"Nominee
Critics' Choice TV Award","Best Actor in a Drama Series
House of Cards (2013)"
nm0000228,Dallas-Fort Worth Film Critics Association Awards,2000,"Winner
DFWFCA Award","Best Actor
American Beauty (1999)"
nm0000228,Dallas-Fort Worth Film Critics Association Awards,1996,"Winner
DFWFCA Award","Best Supporting Actor
The Usual Suspects (1995)"
nm0000228,"Empire Awards, UK",2001,"Nominee
Empire Award","Best Actor
American Beauty (1999)"
nm0000228,"Empire Awards, UK",1998,"Winner
Empire Award","Best Actor
L.A. Confidential (1997)"
nm0000228,Fangoria Chainsaw Awards,1996,"Winner
Chainsaw Award","Best Supporting Actor
Se7en (1995)"
nm0000228,Film Independent Spirit Awards,2012,"Winner
Robert Altman Award","Margin Call (2011)

Shared with:

J.C. Chandor

(director)        

Tiffany Little Canfield

(casting director)        

Bernard Telsey

(casting director)        

Penn Badgley

(ensemble cast)        

Simon Baker

(ensemble cast)        

Paul Bettany

(ensemble cast)        

Jeremy Irons

(ensemble cast)        

Mary McDonnell

(ensemble cast)        

Demi Moore

(ensemble cast)        

Zachary Quinto

(ensemble cast)        

Stanley Tucci

(ensemble cast)"
nm0000228,Film Independent Spirit Awards,1996,"Nominee
Independent Spirit Award","Best Male Lead
Swimming with Sharks (1994)"
nm0000228,Florida Film Critics Circle Awards,2000,"Winner
FFCC Award","Best Actor
American Beauty (1999)"
nm0000228,GALECA: The Society of LGBTQ Entertainment Critics,2015,"Nominee
Dorian Award","TV Performance of the Year - Actor
House of Cards (2013)"
nm0000228,GALECA: The Society of LGBTQ Entertainment Critics,2014,"Nominee
Dorian Award","TV Performance of the Year - Actor
House of Cards (2013)"
nm0000228,Gold Derby Awards,2019,"Nominee
Gold Derby TV Award","Drama Actor of the Decade
House of Cards (2013)"
nm0000228,Gold Derby Awards,2017,"Nominee
Gold Derby TV Award","Drama Lead Actor
House of Cards (2013)"
nm0000228,Gold Derby Awards,2016,"Nominee
Gold Derby TV Award","Drama Lead Actor
House of Cards (2013)"
nm0000228,Gold Derby Awards,2015,"Nominee
Gold Derby TV Award","Drama Lead Actor
House of Cards (2013)"
nm0000228,Gold Derby Awards,2014,"Nominee
Gold Derby TV Award","Drama Lead Actor
House of Cards (2013)"
nm0000228,Gold Derby Awards,2013,"Nominee
Gold Derby TV Award","Drama Lead Actor
House of Cards (2013)"
nm0000228,Gold Derby Awards,2008,"Nominee
Gold Derby TV Award","TV Movie/Mini Actor
Recount (2008)"
nm0000228,Golden Apple Awards,2001,"Winner
Golden Apple",Male Star of the Year
nm0000228,"Golden Camera, Germany",2015,"Winner
Golden Camera","Best International Actor
House of Cards (2013)"
nm0000228,"Golden Globes, USA",2015,"Winner
Golden Globe","Best Performance by an Actor in a Television Series - Drama
House of Cards (2013)"
nm0000228,"Golden Globes, USA",2014,"Nominee
Golden Globe","Best Performance by an Actor in a Television Series - Drama
House of Cards (2013)"
nm0000228,"Golden Globes, USA",2011,"Nominee
Golden Globe","Best Performance by an Actor in a Motion Picture - Comedy or Musical
Casino Jack (2010)"
nm0000228,"Golden Globes, USA",2009,"Nominee
Golden Globe","Best Miniseries or Motion Picture Made for Television
Bernard and Doris (2006)

Shared with:

Jonathan Cavendish

Adam Kassen

Mark Kassen

Bob Balaban

Dana Brunetti

Mark Olsen"
nm0000228,"Golden Globes, USA",2009,"Nominee
Golden Globe","Best Performance by an Actor in a Miniseries or a Motion Picture Made for Television
Recount (2008)"
nm0000228,"Golden Globes, USA",2005,"Nominee
Golden Globe","Best Performance by an Actor in a Motion Picture - Comedy or Musical
Beyond the Sea (2004)"
nm0000228,"Golden Globes, USA",2002,"Nominee
Golden Globe","Best Performance by an Actor in a Motion Picture - Drama
The Shipping News (2001)"
nm0000228,"Golden Globes, USA",2000,"Nominee
Golden Globe","Best Performance by an Actor in a Motion Picture - Drama
American Beauty (1999)"
nm0000228,"Golden Globes, USA",1996,"Nominee
Golden Globe","Best Performance by an Actor in a Supporting Role in a Motion Picture
The Usual Suspects (1995)"
nm0000228,Gotham Awards,2011,"Nominee
Gotham Independent Film Award","Best Ensemble Performance
Margin Call (2011)

Shared with:

Paul Bettany

Jeremy Irons

Zachary Quinto

Penn Badgley

Simon Baker

Mary McDonnell

Demi Moore

Stanley Tucci

Aasif Mandvi"
nm0000228,Grammy Awards,2006,"Nominee
Grammy","Best Compilation Soundtrack Album for Motion Picture, Television or Other Visual Media
Beyond the Sea (2004)

Shared with:

Phil Ramone

(producer)"
nm0000228,Huading Award,2015,"Nominee
Huading Award","Best Global Actor in a Television Series
House of Cards (2013)"
nm0000228,IGN Summer Movie Awards,2014,"Nominee
IGN Award","Best TV Villain
House of Cards (2013)


For playing ""Francis Underwood"""
nm0000228,IGN Summer Movie Awards,2013,"Nominee
IGN Award","Best TV Actor
House of Cards (2013)"
nm0000228,"Indiana Film Journalists Association, US",2016,"Nominee
IFJA Award","Best Supporting Actor
Elvis & Nixon (2016)"
nm0000228,Jupiter Award,2000,"Winner
Jupiter Award","Best International Actor
American Beauty (1999)"
nm0000228,Kansas City Film Critics Circle Awards,1999,"Winner
KCFCC Award","Best Actor
American Beauty (1999)"
nm0000228,Las Vegas Film Critics Society Awards,2000,"Winner
Sierra Award","Best Actor
American Beauty (1999)"
nm0000228,London Critics Circle Film Awards,2000,"Winner
ALFS Award","Actor of the Year
American Beauty (1999)"
nm0000228,London Critics Circle Film Awards,1998,"Winner
Special Achievement Award",
nm0000228,Los Angeles Film Critics Association Awards,1997,"Nominee
LAFCA Award","Best Supporting Actor
L.A. Confidential (1997)"
nm0000228,Los Angeles Film Critics Association Awards,1995,"Nominee
LAFCA Award","Best Supporting Actor
Se7en (1995)

Outbreak (1995)

The Usual Suspects (1995)

Swimming with Sharks (1994)"
nm0000228,Monte-Carlo TV Festival,2015,"Nominee
Golden Nymph","Outstanding Actor in a Drama TV Series
House of Cards (2013)"
nm0000228,Monte-Carlo TV Festival,2014,"Nominee
Golden Nymph","Outstanding Actor in a Drama Series
House of Cards (2013)"
nm0000228,Monte-Carlo TV Festival,2009,"Nominee
Golden Nymph","Television Films - Best Performance by an Actor
Recount (2008)"
nm0000228,MTV Movie + TV Awards,1996,"Winner
MTV Movie Award","Best Villain
Se7en (1995)"
nm0000228,"National Board of Review, USA",1995,"Winner
NBR Award","Best Supporting Actor
The Usual Suspects (1995)

Se7en (1995)"
nm0000228,"National Board of Review, USA",1995,"Winner
NBR Award","Best Acting by an Ensemble
The Usual Suspects (1995)

Shared with:

Stephen Baldwin

Gabriel Byrne

Benicio Del Toro

Kevin Pollak

Chazz Palminteri

Pete Postlethwaite

Suzy Amis

Giancarlo Esposito"
nm0000228,"National Film Awards, UK",2016,"Nominee
National Film Award",Global Contribution to motion picture
nm0000228,"National Society of Film Critics Awards, USA",2000,"Nominee
NSFC Award","Best Actor
American Beauty (1999)"
nm0000228,"National Society of Film Critics Awards, USA",1998,"Nominee
NSFC Award","Best Supporting Actor
L.A. Confidential (1997)"
nm0000228,"National Society of Film Critics Awards, USA",1996,"Nominee
NSFC Award","Best Supporting Actor
Se7en (1995)

The Usual Suspects (1995)

Swimming with Sharks (1994)

Outbreak (1995)"
nm0000228,NAVGTR Awards,2015,"Winner
NAVGTR Award","Outstanding Performance in a Drama, Lead
Call of Duty: Advanced Warfare (2014)


as ""Jonathan Irons"""
nm0000228,New York Film Critics Circle Awards,1995,"Winner
NYFCC Award","Best Supporting Actor
Se7en (1995)

The Usual Suspects (1995)

Swimming with Sharks (1994)

Outbreak (1995)"
nm0000228,Online Film & Television Association,2016,"Nominee
OFTA Television Award","Best Actor in a Drama Series
House of Cards (2013)"
nm0000228,Online Film & Television Association,2015,"Nominee
OFTA Television Award","Best Actor in a Drama Series
House of Cards (2013)"
nm0000228,Online Film & Television Association,2013,"Nominee
OFTA Television Award","Best Actor in a Drama Series
House of Cards (2013)"
nm0000228,Online Film & Television Association,2008,"Nominee
OFTA Television Award","Best Actor in a Motion Picture or Miniseries
Recount (2008)"
nm0000228,Online Film & Television Association,2000,"Winner
OFTA Film Award","Best Actor
American Beauty (1999)"
nm0000228,Online Film & Television Association,1999,"Nominee
OFTA Film Award","Best Voice-Over Performance
A Bug's Life (1998)


For playing ""Hopper""."
nm0000228,Online Film Critics Society Awards,2000,"Winner
OFCS Award","Best Actor
American Beauty (1999)"
nm0000228,Palm Springs International Film Festival,2005,"Winner
Sonny Bono Visionary Award","Acting, producing & directing."
nm0000228,"People's Choice Awards, USA",2017,"Nominee
People's Choice Award",Favorite Premium Series Actor
nm0000228,PGA Awards,2017,"Nominee
PGA Award","Outstanding Producer of Episodic Television, Drama
House of Cards (2013)

Shared with:

Beau Willimon

Dana Brunetti

Michael Dobbs

Joshua Donen

David Fincher

Eric Roth

Robin Wright

John Mankiewicz

Robert Zotnowski

Jay Carson

Frank Pugliese

Boris Malden

Hameed Shaukat



Season 4"
nm0000228,PGA Awards,2016,"Nominee
PGA Award","Outstanding Producer of Episodic Television, Drama
House of Cards (2013)

Shared with:

Beau Willimon

Dana Brunetti

John David Coles

Joshua Donen

David Fincher

Eric Roth

Robert Zotnowski

Karen Moore



Season 3"
nm0000228,PGA Awards,2015,"Nominee
PGA Award","Outstanding Producer of Episodic Television, Drama
House of Cards (2013)

Shared with:

Dana Brunetti

Joshua Donen

David Fincher

David Manson

Iain Paterson

Eric Roth

Beau Willimon"
nm0000228,PGA Awards,2014,"Nominee
PGA Award","Outstanding Producer of Episodic Television, Drama
House of Cards (2013)

Shared with:

Joshua Donen

David Fincher

Karyn McCarthy

John P. Melfi

Eric Roth

Beau Willimon"
nm0000228,PGA Awards,2009,"Nominee
PGA Award","Outstanding Producer of Long-Form Television
Bernard and Doris (2006)

Shared with:

Adam Kassen

Mark Kassen

Bob Balaban

Mark Olsen"
nm0000228,Phoenix Film Critics Society Awards,2011,"Nominee
PFCS Award","Best Ensemble Acting
Margin Call (2011)

Shared with:

Paul Bettany

Jeremy Irons

Zachary Quinto

Penn Badgley

Simon Baker

Mary McDonnell

Demi Moore

Stanley Tucci

Susan Blackwell

Aasif Mandvi

Ashley Williams"
nm0000228,Russian Guild of Film Critics,2000,"Winner
Golden Aries","Best Foreign Actor
American Beauty (1999)"
nm0000228,San Diego Film Critics Society Awards,1999,"Winner
SDFCS Award","Best Actor
American Beauty (1999)"
nm0000228,San Francisco International Film Festival,2002,"Winner
Peter J. Owens Award",
nm0000228,Satellite Awards,2014,"Nominee
Satellite Award","Best Actor in a Series, Drama
House of Cards (2013)"
nm0000228,Satellite Awards,2008,"Nominee
Satellite Award","Best Actor in a Miniseries or a Motion Picture Made for Television
Recount (2008)"
nm0000228,Satellite Awards,2000,"Nominee
Golden Satellite Award","Best Performance by an Actor in a Motion Picture, Drama
American Beauty (1999)"
nm0000228,Screen Actors Guild Awards,2017,"Nominee
Actor","Outstanding Performance by a Male Actor in a Drama Series
House of Cards (2013)"
nm0000228,Screen Actors Guild Awards,2016,"Winner
Actor","Outstanding Performance by a Male Actor in a Drama Series
House of Cards (2013)"
nm0000228,Screen Actors Guild Awards,2016,"Nominee
Actor","Outstanding Performance by an Ensemble in a Drama Series
House of Cards (2013)

Shared with:

Mahershala Ali

Derek Cecil

Nathan Darrow

Michael Kelly

Elizabeth Marvel

Molly Parker

Jimmi Simpson

Paul Sparks

Robin Wright"
nm0000228,Screen Actors Guild Awards,2015,"Winner
Actor","Outstanding Performance by a Male Actor in a Drama Series
House of Cards (2013)"
nm0000228,Screen Actors Guild Awards,2015,"Nominee
Actor","Outstanding Performance by an Ensemble in a Drama Series
House of Cards (2013)

Shared with:

Mahershala Ali

Jayne Atkinson

Rachel Brosnahan

Derek Cecil

Nathan Darrow

Michel Gill

Joanna Going

Sakina Jaffrey

Michael Kelly

Mozhan Marnò

Gerald McRaney

Molly Parker

Jimmi Simpson

Robin Wright"
nm0000228,Screen Actors Guild Awards,2014,"Nominee
Actor","Outstanding Performance by a Male Actor in a Drama Series
House of Cards (2013)"
nm0000228,Screen Actors Guild Awards,2009,"Nominee
Actor","Outstanding Performance by a Male Actor in a Television Movie or Miniseries
Recount (2008)"
nm0000228,Screen Actors Guild Awards,2000,"Winner
Actor","Outstanding Performance by a Male Actor in a Leading Role
American Beauty (1999)"
nm0000228,Screen Actors Guild Awards,2000,"Winner
Actor","Outstanding Performance by a Cast in a Theatrical Motion Picture
American Beauty (1999)

Shared with:

Annette Bening

Wes Bentley

Thora Birch

Chris Cooper

Peter Gallagher

Allison Janney

Mena Suvari"
nm0000228,Screen Actors Guild Awards,1998,"Nominee
Actor","Outstanding Performance by a Cast
L.A. Confidential (1997)

Shared with:

Kim Basinger

James Cromwell

Russell Crowe

Danny DeVito

Guy Pearce

David Strathairn"
nm0000228,Screen Actors Guild Awards,1996,"Nominee
Actor","Outstanding Performance by a Male Actor in a Supporting Role
The Usual Suspects (1995)"
nm0000228,Seattle International Film Festival,1995,"Winner
Golden Space Needle Award","Best Actor
The Usual Suspects (1995)

Swimming with Sharks (1994)"
nm0000228,"SESC Film Festival, Brazil",2001,"Winner
Audience Award","Best Foreign Actor (Melhor Ator Estrangeiro)
American Beauty (1999)"
nm0000228,"ShoWest Convention, USA",2008,"Winner
Special Award","Best Ensemble
21 (2008)

Shared with:

Jim Sturgess

Kate Bosworth

Laurence Fishburne

Aaron Yoo

Liza Lapira

Jacob Pitts

Josh Gad"
nm0000228,Society of Texas Film Critics Awards,1997,"Winner
STFC Award","Best Supporting Actor
L.A. Confidential (1997)

Midnight in the Garden of Good and Evil (1997)"
nm0000228,Society of Texas Film Critics Awards,1995,"Winner
STFC Award","Best Supporting Actor
The Usual Suspects (1995)

Se7en (1995)

Outbreak (1995)"
nm0000228,Southeastern Film Critics Association Awards,2000,"Winner
SEFCA Award","Best Actor
American Beauty (1999)"
nm0000228,Sundance Film Festival,2000,"Winner
Tribute to Independent Vision Award",
nm0000228,Teen Choice Awards,2006,"Nominee
Teen Choice Award","Movies - Choice Sleazebag
Superman Returns (2006)"
nm0000228,The Webby Awards,2013,"Winner
Webby Award","Special Achievement
Shared with:

Dana Brunetti"
nm0000228,Toronto Film Critics Association Awards,1999,"Winner
TFCA Award","Best Performance, Male
American Beauty (1999)"
nm0000228,TV Guide Awards,2014,"Nominee
TV Guide Award","Favorite Actor
House of Cards (2013)"
nm0000228,Valladolid International Film Festival,1992,"Winner
Best Actor","Glengarry Glen Ross (1992)

Shared with:

Jack Lemmon

Al Pacino

Ed Harris

Alan Arkin

Alec Baldwin

Jonathan Pryce"
nm0000228,Walk of Fame,1999,"Winner
Star on the Walk of Fame","Motion Picture

On 5 October 1999. At 6801 Hollywood Blvd."
nm0000228,Women Film Critics Circle Awards,2009,"Nominee
WFCC Award","Best Actor
Shrink (2009)"
nm0000228,Young Hollywood Awards,2002,"Winner
Role Model Award",
nm0000243,"Academy Awards, USA",2018,"Nominee
Oscar","Best Performance by an Actor in a Leading Role
Roman J. Israel, Esq. (2017)"
nm0000243,"Academy Awards, USA",2017,"Nominee
Oscar","Best Motion Picture of the Year
Fences (2016)

Shared with:

Todd Black

Scott Rudin"
nm0000243,"Academy Awards, USA",2017,"Nominee
Oscar","Best Performance by an Actor in a Leading Role
Fences (2016)"
nm0000243,"Academy Awards, USA",2013,"Nominee
Oscar","Best Performance by an Actor in a Leading Role
Flight (2012)"
nm0000243,"Academy Awards, USA",2002,"Winner
Oscar","Best Actor in a Leading Role
Training Day (2001)"
nm0000243,"Academy Awards, USA",2000,"Nominee
Oscar","Best Actor in a Leading Role
The Hurricane (1999)"
nm0000243,"Academy Awards, USA",1993,"Nominee
Oscar","Best Actor in a Leading Role
Malcolm X (1992)"
nm0000243,"Academy Awards, USA",1990,"Winner
Oscar","Best Actor in a Supporting Role
Glory (1989)"
nm0000243,"Academy Awards, USA",1988,"Nominee
Oscar","Best Actor in a Supporting Role
Cry Freedom (1987)"
nm0000243,Primetime Emmy Awards,2001,"Nominee
Primetime Emmy","Outstanding Non-Fiction Special
Half Past Autumn: The Life and Works of Gordon Parks (2000)

Shared with:

Cecil Cox

(executive producer)        

Sheila Nevins

(executive producer)        

Craig Laurence Rice

(executive producer/director)        

St. Clair Bourne

(producer)        

Jacqueline Glover

(supervising producer)        

Lisa Heller

(supervising producer)        

Lou Potter

(writer)"
nm0000243,Primetime Emmy Awards,1995,"Nominee
Primetime Emmy","Outstanding Informational Special
Hank Aaron: Chasing the Dream (1995)

Shared with:

Michael Tollin

(executive producer/director/writer)        

Debra Martin Chase

(executive producer)        

Brian Robbins

(executive producer)        

David Houle

(executive producer for tv prod. partners)        

Jack Myers

(executive producer for tv prod. partners)        

Fredric Golding

(producer)        

Dorian Harewood

(narrator)        

Pat Mitchell

(executive producer for tbsp)        

Tom McMahon

(supervising producer for tbsp)        

Vivian Schiller

(senior producer for tbsp)"
